Project Name,BHK,price,Possession Status (Ready / Under Construction),amenities,propertyImages,fullAddress,Title,City,Locality,City + Locality
TESTING,4.5BHK,₹1.0 Cr,READY_TO_MOVE,PROJECT SUMMARY,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758450157414-15c5ef82cad99022.jpg""",ADDRESS,TESTING 4.5BHK,Pune,Camp,Pune - Camp
testing igi,House_Villa,₹8.0 Cr,READY_TO_MOVE,aqwsedrftgyhujikozsxdcfvgbhjnkm,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758607532944-b93d0b2a52058cc7.webp""",awsedrftgyhujk,testing igi House_Villa,Pune,Somwarpeth Camp,Pune - Somwarpeth Camp
testing igi,3BHK,₹96.0 Cr,READY_TO_MOVE,aqwsedrftgyhujikozsxdcfvgbhjnkm,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758607532944-e10a4f6be6b3cc76.jpg""",awsedrftgyhujk,testing igi 3BHK,Pune,Somwarpeth Camp,Pune - Somwarpeth Camp
some project testing,4BHK,₹3.0 Cr,UNDER_CONSTRUCTION,project summary,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758620243242-5810bb1b43a5db87.webp""",address,some project testing 4BHK,Pune,Testing Somwarpeth Camp,Pune - Testing Somwarpeth Camp
QUEENS PARK,1BHK,₹1.09 Cr,UNDER_CONSTRUCTION,"Queens Park by Vaibhavlaxmi builder & developer is a well-designed residential development in Chembur, Mumbai. It provides contemporary features, convenient connectivity, and peaceful living, all supported by the developer's long-standing heritage and adherence to excellence. Situated in a well-developed suburb with the best infrastructure and great connectivity, the project meets the needs of the city life while affording peace and ease of living.","""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551546-edea4e482b14fe41.jpg""","Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",QUEENS PARK 1BHK,Mumbai,Subhashnagar Chembur,Mumbai - Subhashnagar Chembur
QUEENS PARK,2BHK,₹1.87 Cr,UNDER_CONSTRUCTION,"Queens Park by Vaibhavlaxmi builder & developer is a well-designed residential development in Chembur, Mumbai. It provides contemporary features, convenient connectivity, and peaceful living, all supported by the developer's long-standing heritage and adherence to excellence. Situated in a well-developed suburb with the best infrastructure and great connectivity, the project meets the needs of the city life while affording peace and ease of living.","""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551548-68b2c475624ac9aa.jpg""","Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",QUEENS PARK 2BHK,Mumbai,Subhashnagar Chembur,Mumbai - Subhashnagar Chembur
QUEENS PARK,2BHK,₹1.72 Cr,UNDER_CONSTRUCTION,"Queens Park by Vaibhavlaxmi builder & developer is a well-designed residential development in Chembur, Mumbai. It provides contemporary features, convenient connectivity, and peaceful living, all supported by the developer's long-standing heritage and adherence to excellence. Situated in a well-developed suburb with the best infrastructure and great connectivity, the project meets the needs of the city life while affording peace and ease of living.","""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551550-8dd99bd7e0de26db.jpg""","Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",QUEENS PARK 2BHK,Mumbai,Subhashnagar Chembur,Mumbai - Subhashnagar Chembur
QUEENS PARK,3BHK,₹2.39 Cr,UNDER_CONSTRUCTION,"Queens Park by Vaibhavlaxmi builder & developer is a well-designed residential development in Chembur, Mumbai. It provides contemporary features, convenient connectivity, and peaceful living, all supported by the developer's long-standing heritage and adherence to excellence. Situated in a well-developed suburb with the best infrastructure and great connectivity, the project meets the needs of the city life while affording peace and ease of living.","""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758705551551-635af274c30c9045.jpg""","Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",QUEENS PARK 3BHK,Mumbai,Subhashnagar Chembur,Mumbai - Subhashnagar Chembur
testring999,3BHK,₹8.0 Cr,UNDER_CONSTRUCTION,dsgfhjk,"""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758708115716-b28e6ee1732f2e2b.webp""",sdfghj,testring999 3BHK,Pune,Camp,Pune - Camp
Queens Glory,1RK ,₹79.44 L,UNDER_CONSTRUCTION,"Queens Glory by VaibhavLaxmi Builders and Developers is a well-designed residential development in Chembur, Mumbai. It provides contemporary features, convenient connectivity, and peaceful living, all supported by the developer's long-standing heritage and adherence to excellence. Situated in a well-developed suburb with the best infrastructure and great connectivity, the project meets the needs of the city life while affording peace and ease of living.","""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1758713537116-09ebbf05ef9abbaa.jpg""","Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Queens Glory 1RK ,Mumbai,Subhashnagar Chembur,Mumbai - Subhashnagar Chembur
